design,category,top,recipe,is_winner,cells,area_um2,wns_ns,tns_ns,abc_delay_ps,runtime_s,status,error,final_wns_slow,final_tns_slow,final_area_um2
mul16_pipe,datapath,mul16_pipe,delay_map_resyn@adder=han-carlson,0,3456,18022.28,0.888,0.000,6987.45,1.0,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn@adder=sklansky,0,3185,16161.75,0.740,0.000,7130.20,0.9,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map@adder=han-carlson,0,4256,21360.49,0.790,0.000,7025.40,1.0,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn@adder=kogge-stone,0,3709,18019.78,1.058,0.000,6706.97,1.0,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3@adder=kogge-stone,0,1919,13127.59,-0.262,-0.387,7825.76,1.1,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3@booth,0,1165,9207.58,-0.150,-0.374,7764.32,0.3,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3@adder=sklansky,0,1884,12963.68,-0.357,-0.643,7901.95,0.7,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map@booth,0,2437,13839.52,0.817,0.000,7099.19,0.5,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_syn2@adder=sklansky,0,2152,13744.43,-0.627,-1.995,8043.17,0.7,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn@booth,1,2104,11994.00,0.952,0.000,6835.10,0.6,ok,,0.920,0.000,11994.00
mul16_pipe,datapath,mul16_pipe,delay_syn2@booth,0,1958,12459.45,0.003,0.000,7490.38,0.6,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map@adder=kogge-stone,0,4394,22258.85,1.071,0.000,6874.53,1.4,ok,,,,
mul16_pipe,datapath,mul16_pipe,orfs_area@booth,0,2368,14390.05,0.419,0.000,7181.96,0.6,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_syn2@booth+adder=kogge-stone,0,2046,13217.68,0.617,0.000,6885.29,0.6,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map_resyn@booth+adder=kogge-stone,0,2298,12901.12,1.343,0.000,6485.98,0.7,ok,,,,
mul16_pipe,datapath,mul16_pipe,orfs_area@booth+adder=kogge-stone,0,2420,15312.19,0.409,0.000,7004.20,0.7,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_choice_deep_v3@booth+adder=kogge-stone,0,1235,9536.65,-0.082,-0.082,7542.15,0.8,ok,,,,
mul16_pipe,datapath,mul16_pipe,delay_map@booth+adder=kogge-stone,0,2701,15089.47,1.116,0.000,6728.49,0.9,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3,0,6430,39709.33,-2.717,-2.717,10313.23,1.4,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3@adder=han-carlson,0,6499,40536.38,-2.084,-2.084,9691.06,1.8,ok,,,,
mul32_mac,datapath,mul32_mac,delay_syn2,0,7467,42518.28,-2.953,-2.953,10506.31,1.9,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area@adder=sklansky,0,7367,42791.04,-3.709,-3.709,10855.28,2.3,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area@adder=kogge-stone,0,7628,45200.85,-1.857,-1.857,9370.50,2.3,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3@adder=kogge-stone,0,6700,42231.75,-1.821,-1.821,9423.95,2.3,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area,0,7448,44025.97,-2.638,-2.638,9988.78,2.4,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map,0,13936,66954.21,-1.153,-1.153,8954.23,2.4,ok,,,,
mul32_mac,datapath,mul32_mac,orfs_area@adder=han-carlson,0,7504,44338.77,-2.940,-2.940,10467.38,2.4,ok,,,,
mul32_mac,datapath,mul32_mac,delay_syn2@adder=han-carlson,0,8015,47291.61,-2.231,-2.231,9889.71,2.4,ok,,,,
mul32_mac,datapath,mul32_mac,delay_syn2@adder=kogge-stone,0,8145,47833.38,-1.799,-1.799,9527.86,2.5,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map@adder=sklansky,0,14229,67143.15,-0.835,-0.835,8740.01,2.6,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn,0,12417,56920.84,-0.963,-0.963,8804.26,2.7,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map@adder=han-carlson,0,14371,68349.30,-0.964,-0.964,8803.10,2.7,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map@adder=kogge-stone,0,14914,70266.14,-0.778,-0.778,8658.50,2.9,ok,,,,
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3@adder=sklansky,0,6455,40178.53,-2.087,-2.087,9754.03,1.5,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn@adder=sklansky,0,12522,57601.49,-0.979,-0.979,8829.13,3.0,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn@adder=han-carlson,0,12214,57572.72,-0.863,-0.863,8605.08,3.2,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn@adder=kogge-stone,1,12703,60888.40,-0.566,-0.566,8352.52,3.3,ok,,-0.560,-0.560,60938.44
mul32_mac,datapath,mul32_mac,delay_choice_deep_v3@booth,0,4890,33195.59,-4.991,-24.181,12348.13,1.4,ok,,,,
mul32_mac,datapath,mul32_mac,delay_syn2@adder=sklansky,0,7439,43098.84,-3.091,-3.091,10394.29,1.9,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map_resyn@booth,0,8584,44047.24,-3.510,-3.510,11112.82,2.4,ok,,,,
mul32_mac,datapath,mul32_mac,delay_map@booth,0,11163,56123.83,-3.679,-3.706,11427.23,2.0,ok,,,,
